"","CamStation","low250","low500","low750","low1000","low1250","low1500","low1750","low2000"
"39","Algar39",0.983631643052548,0.965107651665862,0.952720366851,0.906996488022939,0.89167489155086,0.896914599404378,0.880156121927522,0.875440754711702
"40","Algar40",0.975206004874978,0.949206439576718,0.934123349393779,0.918436862007415,0.884357353113963,0.844339064894392,0.809673938966846,0.790765869909238
"41","Algar41",0.915273134684699,0.964747101281018,0.912485531559696,0.881655392720941,0.858037025841058,0.85224446393745,0.853690111412466,0.860837285217969
"42","Algar42",0.607268000133685,0.813110485044054,0.877995359626316,0.891389819682785,0.88727601124702,0.884092831167266,0.869217295685095,0.853384172633297
"43","Algar43",0.461137245935024,0.592871198759037,0.623389967966389,0.567651977800919,0.543817288234697,0.537803444049618,0.541013519374395,0.53050858734875
"44","Algar44",0.810971342124405,0.456728903814404,0.349831989831554,0.325647498054939,0.326370481229213,0.3545988127107,0.361702728784454,0.362319674382315
"45","Algar45",0.910087633980953,0.790743560834414,0.780733614760427,0.78553805132786,0.778275639568489,0.776180295919217,0.779832702852649,0.782434372043152
"46","Algar46",0.983631643052659,0.983631643094123,0.930447852912032,0.865232186528498,0.820327576025909,0.758267525144923,0.677598794913892,0.604846945861042
"47","Algar47",0.214765441476846,0.297696640648645,0.442036291156096,0.480330489816856,0.519225095089949,0.539981980074186,0.545459270592719,0.539726514700665
"48","Algar48",0.8432057474565,0.661641971546077,0.639949072969755,0.59157944438367,0.544677540993007,0.57699625592614,0.625643257712035,0.654389256847491
"49","Algar49",0.300969019236269,0.413546105495503,0.519312167276373,0.59902120316761,0.589859399445124,0.555106074684271,0.50937949213496,0.504521075642193
"50","Algar50",0.983631643054245,0.983631643093202,0.983631643080989,0.983631643082263,0.971132826880966,0.933752737886957,0.939234951699448,0.932527673262886
"51","Algar51",0.919456590411891,0.951221719748697,0.955373734919926,0.962907414235341,0.962386424144116,0.95727313303363,0.956707916006731,0.955329453325242
"52","Algar52",0.58977491726508,0.546849060012302,0.55725155894785,0.616190289201901,0.66495034269695,0.686835606287581,0.713726092325735,0.72496744328076
"53","Algar53",0.856078695505246,0.751607260650032,0.733274908993044,0.773930416328958,0.802777755662814,0.758986188561256,0.71308161699396,0.682461109610348
"54","Algar54",0.578405761585009,0.489675593705892,0.503030388113354,0.511930151482543,0.473334609396207,0.455239909930065,0.448461642763619,0.448761309157995
"55","Algar55",0.653945339114729,0.507711614177996,0.536286945036019,0.592373071081649,0.599043815607243,0.60069592851348,0.54347047518513,0.51056424994329
"56","Algar56",0.546550150589441,0.545596816587693,0.498821367619711,0.436821859250873,0.376505750464614,0.36375822617126,0.361882417071858,0.385558400276731
"57","Algar57",0.144515142726226,0.148070401089917,0.141929022357171,0.168493074610695,0.177358054629606,0.155269039530406,0.164348604088983,0.158998980238351
"58","Algar58",0.456987233724708,0.472053608145478,0.489024645272945,0.486521454285043,0.510524361109067,0.509819212749903,0.487156793599265,0.476737445049778
"59","Algar59",0.846444399902069,0.948108261405841,0.964091948442136,0.951281397184231,0.888760157783708,0.828983000445378,0.788823233563888,0.752847016903421
"60","Algar60",0.811577726949472,0.805747410412761,0.878193129951171,0.893894451774255,0.868210141464678,0.813807173396599,0.762699371730264,0.739474008791823
